id,ANO,MP,SOLUCAO,DESENVOLVEDOR,CATEGORIA,ABRANGENCIA,FUNCIONALIDADE,FINALIDADE,PERMISSIONAMENTO,FONTE,CONTATO,CONSUMO,LINK
32,2023,MPSP,LABELEITORAL MPSP 2022,NIGC/MPSP,GERAIS,Não se aplica,"Leis, normas, modelos e ferramentas de investigacao para atuacao das PJsEleitorais no pleito de 2022",Investigação,Geral,Dev. Interno,Nabil Alameddine - nigc@mpsp.mp.br,Aplicacao especifica,https://apps.powerapps.com/play/e/default-2dbd8499-508d-4b76-a31d-ca39cb3d8f1d/a/7f003c2a-61f0-428e-b990-a135fd5f3492?tenantId=2dbd8499-508d-4b76-a31d-ca39cb3d8f1d&source=portal
33,2023,MPSP,GUARDIAO,DIGITRO,GERAIS,Não se aplica,Ferramenta implementa interceptacao telefonica dinamica mediante ordem judicial e exibe analise de metadados,Investigação,Geral,Contrato,Pedro Cunali <pedro.cunali@digitro.com>,WS - Web Service,https://www.digitro.com/
34,2023,MPSP,SITTEL,MPF/SPPEA,GERAIS,Não se aplica,"Ferramenta recebe e organiza metadados estaticos de usuarios de operadoras de telefonia, mediante ordem judicial e dados de assinantes mediante solicitacao direta",Investigação,Geral,Conv. Direto,PGR-simba@mpf.mp.br,WS - Web Service,sittel.mpsp.mp.br/sittel/index.php
35,2023,MPSP,CCS,BACEN,LABLD,NACIONAL,"Dados de contas bancarias de pessoas fisicas e juridicas: banco, numero, agencia, data de abertura e encerramento e titularidade (titulares e co-titulares) e procuradores",Investigação,Restrito,Conv. Direto,,Consulta on line,https://www3.bcb.gov.br/ccs/dologin
36,2023,MPSP,SIMBA 2.0,MPF/SPPEA,LABLD,Não se aplica,Ferramenta exibe relatorios das quebras bancarias de forma organizada,Investigação,Geral,Conv. Direto,PGR-simba@mpf.mp.br,WS - Web Service,a-mpspbr.msappproxy.net/simba/
37,2023,MPSP,EVA,LABLD/MPSP,LABLD,Não se aplica,"Ferramenta de Analise de Evolucao Patrimonial, a partir de quebras fiscais e bancarias; apresenta planilhas e graficos de evolucao a descoberto",Investigação,Restrito,Dev. Interno,LABLD-MPSP <labld@mpsp.mp.br>,Aplicacao especifica,aplicação baixada na máquina
38,2023,MPSP,RIF-ANALYZER,LABLD/MPSP,LABLD,Não se aplica,"Ferramenta de Analise de RIFs/COAF; apresenta os dados de forma organizada, com filtros e gera graficos de relacionamento",Inteligência,Restrito,Dev. Interno,LABLD-MPSP <labld@mpsp.mp.br>,Aplicacao especifica,aplicação baixada na máquina
39,2023,MPSP,HARPIA-E,LABLD/MPSP,LABLD,Não se aplica,"Ferramenta exibe dados agregados de pessoas juridicas, de forma organizada, com filtros e gerando graficos de relacionamento: socios, contadores, enderecos e patrimonio (inclui embarcacoes e aeronaves)",Investigação,Restrito,Dev. Interno,LABLD-MPSP <labld@mpsp.mp.br>,Aplicacao especifica,aplicação baixada na máquina
40,2023,MPSP,ELOS,NUCEF/MPSP,EVID. FORENSES,Não se aplica,"Leis, normas, modelos, roteiros de atuacao e ferramentas para cumprimento de mandados de busca, apreensao e custodia segura de vestigios",Investigação,Geral,Dev. Interno,NUCEF <nucef@mpsp.mp.br>,Aplicacao especifica,https://apps.powerapps.com/play/e/default-2dbd8499-508d-4b76-a31d-ca39cb3d8f1d/a/3f84278c-e6f1-4a01-88b9-4b18f746f9cb?tenantId=2dbd8499-508d-4b76-a31d-ca39cb3d8f1d&source=portal
41,2023,MPSP,SIMQ/MPSP,NUCEF/MPSP,EVID. FORENSES,Não se aplica,"Gestao da apreensao, custodia, remessa Centrais e descarte de vestigios apreendidos em operacoes ministeriais",Investigação,Geral,Dev. Interno,NUCEF <nucef@mpsp.mp.br>,WS - Web Service,https://simq-mpspbr.msappproxy.net/simq2/
42,2023,MPSP,READER E PATHFINDER,CELLEBRITE,EVID. FORENSES,Não se aplica,Extracao e indexacao de dados de equipamentos digitais apreendidos ou de quebras de nuvem,Investigação,Geral,Contrato,,WS - Web Service,aplicação baixada na máquina
43,2023,MPSP,IPED,POLÍCIA FEDERAL,EVID. FORENSES,Não se aplica,Extracao e indexacao de dados de equipamentos digitais apreendidos ou de quebras de nuvem,Investigação,Geral,Outro,,Aplicacao especifica,aplicação baixada na máquina
44,2023,MPSP,FTK,,EVID. FORENSES,Não se aplica,Extracao e indexacao de dados de equipamentos digitais apreendidos ou de quebras de nuvem,Investigação,Geral,Contrato,,Aplicacao especifica,aplicação baixada na máquina
45,2023,MPSP,XRY,APURA COM. SOFTWARES,EVID. FORENSES,Não se aplica,Extracao e indexacao de dados de equipamentos digitais apreendidos ou de quebras de nuvem,Investigação,Geral,Contrato,,Aplicacao especifica,aplicação baixada na máquina
46,2023,MPSP,E-MAIL TO FILE,ICPR - SSPPR,EVID. FORENSES,Não se aplica,,Investigação,Geral,Outro,,Aplicacao especifica,aplicação baixada na máquina
47,2023,MPSP,ANALISES DE AUDIO E IMAGENS,NUCEF/MPSP,EVID. FORENSES,Não se aplica,Analise e emissao de parecer tecnico a partir de evidencias contendo registros de audio e video,Investigação,Geral,Dev. Interno,NUCEF <nucef@mpsp.mp.br>,Não se aplica,https://www.mpsp.mp.br/caex
48,2023,MPSP,ANALISES GRAFOTECNICAS,NUCEF/MPSP,EVID. FORENSES,Não se aplica,Analise e emissao de parecer tecnico a partir de documentos manuscritos,Investigação,Geral,Dev. Interno,NUCEF <nucef@mpsp.mp.br>,Não se aplica,https://www.mpsp.mp.br/caex
49,2023,MPAC,SISTEMA DE INVESTIGAÇÃO E MOVIMENTAÇÃO BANCÁRIA,MPF,GERAIS,NACIONAL,Ferramenta utilizada no combate a crimes de Lavagem de Dinheiro,Investigação,Restrito,Conv. Direto,68 999120236 - Edelmar,WS - Web Service,https://www.simba.mpac.mp.br
50,2023,MPAC,RETINA,MPAC,GERAIS,NACIONAL,Ferramenta utilizada realizar cadastro de integrantes de faccionados,Inteligência,Restrito,Dev. Interno,68 98106-5276 - Antonio,WS - Web Service,https://www.retina.mpac.mp.br
51,2023,MPAC,SIGEP,MPAC,GERAIS,ESTADUAL,Ferramenta utilizada para cadastro e controle de demandas encaminhadas ao Núcleo de Apoio Técnico do MPAC,Investigação,Geral,Dev. Interno,68 98106-5276 - Antonio,WS - Web Service,https://sigep.mpac.mp.br
52,2023,MPAC,MAPBIOMAS,IMAZON,GERAIS,NACIONAL,Identificar alertas de desmatamentos e focos de queimadas para crimes ambientais. Permite cruzar dados com CAR para identificar proprietários,Investigação,Restrito,Conv. Direto,68 99218-2405 - Arthur,Consulta on line,https://www.car.gov.br/
53,2023,MPAC,CAR - Cadastro ambiental rural,Ministério da Agricultura e Meio Ambiente,GERAIS,NACIONAL,identificar propriedades rurais e seu proprietário. A dificuldade é que parte das informações vemd e dados autodeclaratórios que em alguns casos apresentam divergências,Investigação,Restrito,Conv. Direto,68 99218-2405 - Arthur,Consulta on line,https://plataforma.alerta.mapbiomas.org/
54,2023,MPAC,STIGEO - Banco de dados da Prefeitura de Rio Branco sobre os imóveis urbanos,Prefeitura de Rio Branco,GERAIS,ESTADUAL,"Utilizado na localização de endereços, dimensão de lotes, áreas afetadas por alagamentos, deslizmento e zoneamento do município. Gera maps e imagens com identificaão do local e proprietário (necessita de atualização-base de dados de 2014)",Investigação,Restrito,Conv. Direto,68 99218-2405 - Arthur,Consulta on line,http://sit.riobranco.ac.gov.br/
55,2023,MPAC,SINAFLOR - Sistema NACIONAL de Controle da Origem dos Produtos Florestais: De controle do IBAMA,IBAMA,GERAIS,NACIONAL,"informa atividades florestais, empreendimentos de base florestal e processos correlatos sujeitos ao controle por parte dos órgãos do Sistema NACIONAL do Meio Ambiente (Sisnama) serão efetuadas por meio do Sinaflor, ou por sistemas estaduais e federais nele integrados",Investigação,Restrito,Conv. Direto,68 99218-2405 - Arthur,Consulta on line,https://sinaflor.ibama.gov.br
56,2023,MPAC,SIGEF: Sistema de Gestão Fundiária do INCRA,INCRA,GERAIS,NACIONAL,"Permite indentificar dados fundiários. Por ele são efetuadas a recepção, validação, organização, regularização e disponibilização das informações georreferenciadas de limites de imóveis rurais.",Investigação,Restrito,Conv. Direto,68 99218-2405 - Arthur,Consulta on line,https://sigef.incra.gov.br/
57,2023,MPAC,Aita,MPAC,GERAIS,ESTADUAL,"desenvolvido para abrigar dados relacionados a todas as mortes violentas ocorridas no estado do Acre (homicídios dolosos e culposos consumados, feminicídios, latrocínios, mortes decorrentes de intervenções policiais, lesões corporais que resultaram em morte, suicídios, acidentes de trânsito com vítimas fatais, afogamentos, mortes decorrentes de acidentes diversos dos de trânsito, etc",Inteligência,Restrito,Dev. Interno,68 98106-5276 - Antonio,WS - Web Service,https://aita.mpac.mp.br
58,2023,MPAC,INFOSEG,SENASP,GERAIS,NACIONAL,"acessar informações diversas sobre indivíduos, veículos, empresas e armas",Inteligência,Restrito,Conv. Direto,68 999120236 - Edelmar,Consulta on line,https://infoseg.sinesp.gov.br
59,2023,MPAC,IDEPOL - Sistema de Identificação Civil no Acre,Segurança Pública - Acre,GERAIS,ESTADUAL,"informações de dados (RG, CPF, endereços)",Inteligência,Restrito,Conv. Direto,68 98122-1293 - Breno,Consulta on line,https://idpol.ac.gov.br
60,2023,MPAC,SINESP-PPE/SENASP/MJ,Segurança Pública - Acre,GERAIS,NACIONAL,Procedimentos Policiais Eletrônicos da Polícia Civil do estado do Acre;,Investigação,Restrito,Conv. Direto,68 98122-1293 - Breno,Consulta on line,https://idpol.ac.gov.br
61,2023,MPAC,SIAPEN,Instituto de Administração Penitenciária do Acre,GERAIS,ESTADUAL,Sistema de movimentação carcerária da URS-FOC,Inteligência,Restrito,Conv. Direto,68 98122-1293 - Breno,Consulta on line,https://siapenac.depen.gov.br/login
62,2023,MPAC,Credilink,Credilink,GERAIS,NACIONAL,Banco de dados de registros cadastrais de clientes de empresas.,Investigação,Restrito,Contrato,68 999120236 - Edelmar,Consulta on line,Dados disponibilizados por API
63,2023,MPAC,Pandora,MPPA,GERAIS,NACIONAL,Banco de dados do Estado da Paraiba,Investigação,Restrito,Conv. Direto,68 98122-1293 - Breno,Consulta on line,Dados disponibilizados por API
64,2023,MPAC,Apolo,Secretaria de Segurança Pública do Acre,GERAIS,ESTADUAL,"Sistema de uso da segurança pública que reune identificação, veículos e abordagens em um App.",Inteligência,Restrito,Conv. Direto,68 98122-1293 - Breno,Consulta on line,Acesso via aplicativo
65,2023,MPAC,PLUTÃO - Ministério Público Militar (MPM),Ministério Público Militar,GERAIS,NACIONAL,"plataforma para pesquisas integradas em diversas bases de dados (RG, CPF, endereços, vínculos empregatícios)",Investigação,Restrito,Conv. Direto,68 98122-1293 - Breno,Consulta on line,https://cpadsi.mpm.mp.br/Plutao/Logon.aspx
66,2023,MPAC,Papyrus,Polícia Militar,GERAIS,ESTADUAL,Registro de ocorrência da Polícia Militar,Inteligência,Restrito,Conv. Direto,68 98122-1293 - Breno,Consulta on line,https://bo.acre.seg.br/login
67,2023,MPAC,INTEGRAR - Junta Comercial,Junta Comercial,GERAIS,ESTADUAL,"banco de dados de registros de empresas, e suas movimentações/alterações societárias",Investigação,Restrito,Conv. Direto,68 99951-3371 - Fabricia,Consulta on line,https://integrar.ac.gov.br
68,2023,MPAC,LICON - Tribunal de Contas do Estado do Acre – TCE,TCE AC,GERAIS,ESTADUAL,"Acesso a todos os procedimentos licitatórios realizados pelo Tribunal de Contas do Estado do Acre, bem como ter acesso aos processos em andamento e às justificativas de contratações diretas, inexigibilidades",Investigação,Restrito,Conv. Direto,68 99951-3371 - Fabricia,Consulta on line,http://sistemas.tce.ac.gov.br/licon/
69,2023,MPAC,CENSEC - Central Notarial de Serviços Eletrônicos Compartilhado,Cartórios,GERAIS,NACIONAL,"Informações de testamentos, procurações e escrituras",Investigação,Restrito,Conv. Direto,68 99951-3371 - Fabricia,Consulta on line,https://censec.org.br/
70,2023,MPAC,BACEN - Cadastro de Clientes do Sistema Financeiro,Banco Central,GERAIS,NACIONAL,Informações de natureza cadastral que tem por objeto: os relacionamentos que são mantidos pelas instituições participantes com os seus correntistas e/ou clientes e com os representantes legais,Inteligência,Restrito,Conv. Direto,68 99951-3371 - Fabricia,Consulta on line,https://www3.bcb.gov.br/censo2/login
71,2023,MPAC,COAF SEI-C/Conselho de Controle de Atividades Financeiras - COAF,COAF,GERAIS,NACIONAL,"Recebemos e solicitamos os Relatório de Inteligência Financeira (RIF). São documentos produzidos pelo COAF quando o mesmo identifica movimentações que indiquem suspeita de crimes previstos na Lei nº 9.613/1998, como Lavagem de dinheiro e ocultação de bens",Investigação,Restrito,Conv. CNMP,68 99951-3371 - Fabricia,Consulta on line,https://www.gov.br/coaf/
72,2023,MPAC,COAF SEI-C/Conselho de Controle de Atividades Financeiras - COAF,SIEL -  Sistema de Informações Eleitorais,GERAIS,NACIONAL,"recebemos e solicitamos os Relatório de Inteligência Financeira (RIF). São documentos produzidos pelo COAF quando o mesmo identifica movimentações que indiquem suspeita de crimes previstos na Lei nº 9.613/1998, como Lavagem de dinheiro e ocultação de bens",Investigação,Restrito,Conv. CNMP,68 99951-3371 - Fabricia,Consulta on line,https://siel.tse.jus.br/session/new
73,2023,MPRR,ADM Tributos,ADM Sistemas,GERAIS,MUNICIPAL,"Fiscalizar a movimentação de cada contribuinte, emitir guias de arrecadação, cobrar impostos e taxas municipais, controlar e emitir certidões e notas, dentre outras ações.",Inteligência,Restrito,Conv. Direto,,Consulta on line,
74,2023,MPRR,Argus,CAPSI-MPM,LABLD,Não se aplica,"Sistema de inteligência financeira e análise visual capaz de reunir, relacionar e analisar dados de quebras de sigilos bancários autorizadas pela Justiça.",Investigação,Restrito,Conv. Direto,,WS - Web Service,
75,2023,MPRR,CAER Consulta,Companhia de Águas do Estado de Roraima (CAER),GERAIS,ESTADUAL,Banco de dados da base de clientes da Companhia de Águas do Estado de Roraima.,Inteligência,Restrito,Conv. Direto,,Consulta on line,https://lojavirtualcaer.gsan.com.br
76,2023,MPRR,CENSEC,Colégio Notarial do Brasil,GERAIS,NACIONAL,"Gerenciar bancos de dados com informações acerca de testamentos, procurações e escrituras públicas de qualquer natureza lavradas em todos os cartórios do Brasil.",Inteligência,Restrito,Conv. Direto,,Consulta on line,https://censec.org.br
77,2023,MPRR,CRC NACIONAL,CNJ,GERAIS,NACIONAL,"Portal NACIONAL dos Cartórios de Registro Civil das Pessoas Naturais do Brasil, instituída pelo Provimento no 46 do Conselho NACIONAL de Justiça (CNJ), permitindo a localização de assentos em tempo real e a solicitação de certidões eletrônicas e digitais entre cartórios e o Poder Judiciário, dentre outras funcionalidades.",Inteligência,Restrito,Conv. Direto,,Consulta on line,https://sistema.registrocivil.org.br/crcjud
78,2023,MPRR,Confiteor,MPDFT,LABLD,Não se aplica,Sistema desenvolvido para consulta e geração de relatórios em quebras de sigilos bancário e telefônico deferidas em investigações conduzidas pela Instituição. O sistema permite a realização de cruzamentos de dados telefônicos e bancários com base em critérios de pesquisas previamente estabelecidos.,Investigação,Restrito,Outro,,Aplicacao especifica,
79,2023,MPRR,FIPLAN,Empresa Mato-Grossense de Tecnologia da Informação (MTI),GERAIS,ESTADUAL,"Sistema Integrado de Planejamento, Contabilidade e Finanças, utilizado pelo Estado de Roraima para atender no mesmo ambiente as exigências da legislação federal 4.320/64, 6404/76 e 101/00.",Inteligência,Restrito,Conv. Direto,,Consulta on line,https://www.fiplan.rr.gov.br/Fiplan.jsp
80,2023,MPRR,GETRAN,DETRAN-RR,GERAIS,ESTADUAL,"Sistema de Gestão de Trânsito, usado no Estado de Roraima, o qual contém informações dos veículos (Renavan), das habilitações (Renach) e multas de trânsito (Renainf).",Inteligência,Restrito,Conv. Direto,,Consulta on line,https://www.rr.getran.com.br/sna/design/index-explorer.jsp
81,2023,MPRR,IDNet Brasil,Instituto de Identificação Odílio Cruz (IIOC),GERAIS,ESTADUAL,"Sistema de Identificação Civil e Criminal, o qual possui a capacidade de identificar um cidadão por meio de biometria. É também usado para armazenar as informações sobre inquéritos.",Inteligência,Restrito,Conv. Direto,,Consulta on line,http://www.idnetbrasil.rr.gov.br/portal
82,2023,MPRR,LabContas,TCU,GERAIS,NACIONAL,"Laboratório de Informações de Controle, o qual consiste em plataforma digital que reúne bancos de dados da Administração Pública, além de ferramentas de análise de conteúdo, capazes de auxiliar o Ministério Público em ações de controle e acompanhamento da gestão pública.",Inteligência,Restrito,Conv. Direto,,Consulta on line,https://desktop.tcu.gov.br
83,2023,MPRR,Banco de dados de Notas Fiscais de Entidades Públicas,SEFAZ-RR,GERAIS,ESTADUAL,"Banco de dados de Notas Fiscais de Entidades Públicas, disponibilizado pela Secretaria de Estado da Fazenda do Estado de Roraima, diretamente em sua base, para fins de consulta.",Inteligência,Restrito,Conv. Direto,,Aplicacao especifica,
84,2023,MPRR,Pandora,MPPB,GERAIS,ESTADUAL,"Sistema integrado de apoio à investigação, com o objetivo de disponibilizar modelos de análise de grande volume de dados que permitam a detecção, de forma sistemática, dos riscos de crimes contra a administração pública.",Inteligência,Restrito,Conv. Direto,,Aplicacao especifica,
85,2023,MPRR,Projudi,CNJ,GERAIS,ESTADUAL,"Software de tramitação de processos judiciais mantido pelo Conselho NACIONAL de Justiça, no qual também são mantidas informações pessoais sobre litigantes.",Investigação,Restrito,Conv. Direto,,Consulta on line,https://projudi.tjrr.jus.br/projudi
86,2023,MPRR,Sistema de Consulta AJURI,Roraima Energia,GERAIS,ESTADUAL,"Banco de dados de clientes da Roraima Energia, para consulta de dados para fins exclusivos de atividades de investigação e repressão de infrações penais.",Inteligência,Restrito,Conv. Direto,,Consulta on line,https://consultacliente.roraimaenergia.com.br
87,2023,MPRR,SAATRI,ADM Sistemas,GERAIS,MUNICIPAL,"Sistema de autoatendimento para consulta de informações tributárias utilizado pela Prefeitura MUNICIPAL de Boa Vista, por meio da Secretaria MUNICIPAL de Economia, Planejamento e Finanças Serviços on-line.",Inteligência,Restrito,Conv. Direto,,Consulta on line,https://boavista.saatri.com.br
